mot	lemme
nous	nous
avons	avoir
pu	pouvoir
découvrir	découvrir
corps	corps
humain	humain
était	être
parcouru	parcourir
d'	de
ondes	onde
jamais	jamais
personne	personn
n'	ne
avait	avoir
observé	observer
jusqu'	jusque
alors	alors
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
le	le
temps	temps
aurait	avoir
-il	il
effets	effet
l'	le
âge	âge
ceux	celui
pratiquent	pratiquer
au	au
delà	delà
boutade	boutade
mathias	mathia
fink	fink
âgé	âgé
aujourd'hui	aujourd'hui
ans	an
pourrait	pouvoir
laisser	laisser
croire	croire
tant	tant
enthousiasme	enthousiasme
reste	reste
intact	intact
ainsi	ainsi
a	avoir
-t	-t
-il	il
concrétisé	concrétiser
rapprochement	rapprochement
autre	autre
l'	le
espci	espci
celui	celui
d'	de
optique	optique
physique	physique
créant	créer
l'	le
institut	institut
langevin	langevin
ondes	onde
images	images
directeur	directeur
arnaud	arnaud
tourin	tourin
rémi	rémi
carminatti	carminatti
directeurs	directeur
adjoints	adjoint
cette	ce
unité	unité
mixte	mixte
recherche	recherche
cnrs	cnrs
espci	espci
paristech	paristech
/	sur
upmc	upmc
université	université
paris	paris
diderot	diderot
compte	compte
centaine	centaine
personnes	personne
coeur	coeur
métier	métier
ondes	onde
les	le
recherches	recherche
menées	mener
s'	se
étendent	étendre
concepts	concept
fondamentaux	fondamental
applications	application
poussées	pousser
l'	le
imagerie	imagerie
multi-ondes	multi-onde
acousto	acousto
optique	optique
photo-acoustique	photo-acoustiqu
élastographie	élastographie
ultrasons	ultrason
irm	irm
techniques	technique
originales	original
focalisation	focalisation
retournement	retournement
temporel	temporel
filtre	filtre
inverse	inverse
contrôle	contrôle
front	front
d'	de
ondes	onde
passant	passer
création	création
d'	de
entreprises	entreprise
mettant	mettre
oeuvre	oeuvre
nouvelles	nouveau
technologies	technologie
domaines	domaine
biomédical	biomédical
télécommunications	télécommunications
domotique	domotiqu
etc.	etc.
l'	le
aventure	aventure
poursuit	poursuivre
toujours	toujours
pluridisciplinarité	pluridisciplinarité
clé	cler
notre	notre
réussite	réussite
aussi	aussi
faut	falloir
-il	il
impérativement	impérativement
préserver	préserver
conclut	conclure
-il	il
recherche	recherche
l'	le
environnement	environnement
allenvi	allenvi
publie	publier
premier	premier
rapport	rapport
alimentation	alimentation
eau	eau
climat	climat
territoires	territoire
constituent	constituer
quatre	quatre
grands	grand
enjeux	enjeu
d'	de
allenvi	allenvi
de	de
véritables	véritable
défis	défi
relever	relever
décennies	décennie
venir	venir
puisqu'	puisque
il	il
s'	se
agira	agir
matière	matière
d'	de
alimentation	alimentation
parvenir	parvenir
nourrir	nourrir
milliards	milliard
d'	de
individus	individu
l'	le
horizon	horizon
concernant	concerner
l'	le
eau	eau
accès	accès
devra	devoir
garanti	garantir
plan	plan
mondial	mondial
non	non
seulement	seulement
qualité	qualité
nécessairement	nécessairement
quantité	quantité
autre	autre
défi	défi
taille	taille
auquel	auquel
l'	le
humanité	humanité
devra	devoir
face	face
changements	changement
l'	le
érosion	érosion
biodiversité	biodiversité
enfin	enfin
toutes	tout
populations	population
planète	planète
devront	devoir
respecter	respecter
impératif	impératif
celui	celui
qualité	qualité
environnementale	environnemental
territoires	territoire
au	au
d'	de
allenvi	allenvi
travail	travail
organisé	organiser
groupes	groupe
thématiques	thématique
réunissant	réunir
experts	expert
scientifiques	scientifique
agroécologie	agroécologie
sol	sol
aliments	aliment
alimentation	alimentation
biodiversité	biodiversité
biologie	biologie
plantes	plante
climat	climat
evolution	evolution
adaptation	adaptation
atténuation	atténuation
impacts	impacts
eau	eau
ecotechnologies	ecotechnologie
chimie	chimie
durable	durable
sciences	science
mer	mer
ressources	ressource
marines	marin
risques	risque
environnementaux	environnemental
naturels	naturel
écotoxiques	écotoxique
territoires	territoire
ressources	ressource
naturelles	naturel
villes	ville
mobilités	mobilité
evaluation	evaluation
environnementale	environnemental
cycle	cycle
vie	vie
un	un
nouvel	nouveau
élan	élan
initié	initier
déclare	déclarer
président	président
d'	de
allenvi	allenvi
il	il
revient	revenir
maintenant	maintenant
nos	notre
scientifiques	scientifique
chercheurs	chercheur
ingénieurs	ingénieur
techniciens	technicien
d'	de
identifier	identifier
concevoir	concevoir
valider	valider
déployer	déployer
solutions	solution
permettront	permettre
relever	relever
défis	défi
transition	transition
écologique	écologique
vers	vers
croissante	croissant
verte	verte
conclut	conclure
-il	il
l'	le
introduction	introduction
premier	premier
rapport	rapport
publié	publier
alliance	alliance
nationale	national
l'	le
environnement	environnement
une	un
médaille	médaille
l'	le
innovation	innovation
récompense	récompense
roboticien	roboticien
cesse	cesse
d'	de
innover	innover
le	le
avril	avril
dernier	dernier
cnrs	cnrs
décerné	décerné
médaille	médaille
l'	le
innovation	innovation
parmi	parmi
lauréats	lauréat
françois	françois
pierrot	pierrot
directeur	directeur
cnrs	cnrs
laboratoire	laboratoire
d'	de
informatique	informatique
robotique	robotique
microélectronique	microélectronique
montpellier	montpellier
lirmm	lirmm
réputé	réputé
mondialement	mondialement
roboticien	roboticien
participé	participer
conception	conception
robot	robot
parallèle	parallèle
rapide	rapide
brevet	brevet
racheté	racheter
l'	le
entreprise	entreprise
américaine	américain
leader	leader
domaine	domaine
systèmes	système
robotisés	robotiser
adept	adept
autant	autant
dire	dire
contrairement	contrairement
beaucoup	beaucoup
gens	gens
dissertent	dissertent
l'	le
innovation	innovation
chercheur	chercheur
lui	luire
sait	savoir
qu'	que
est	être
l'	le
innovation	innovation
puisqu'	puisque
il	il
vit	voir
pratique	pratique
quotidien	quotidien
qui	qui
est	être
parle	parle
remarquablement	remarquablemer
bien	bien
pour	pour
innover	innover
faut	falloir
évidemment	évidemment
idées	idée
c'	ce
est	être
indispensable	indispensable
souvent	souvent
beaucoup	beaucoup
chance	chance
or	or
début	début
ma	mon
carrière	carrière
je	je
n'	ne
ai	avoir
cessé	cesser
d'	de
en	en
avoir	avoir
déclare	déclarer
-t	-t
-il	il
d'	de
emblée	emblée
il	il
rappelle	rappeler
chance	chance
carrière	carrière
professionnelle	professionnel
d'	de
avoir	avoir
recruté	recruter
cnrs	cnrs
qui	qui
me	me
soutient	soutenir
vingt	vingt
m'	me
accorde	accorder
grande	grand
liberté	liberté
mon	mon
travail	travail
important	important
pour	pour
lui	luire
l'	le
innovation	innovation
n'	ne
est	être
travail	travail
solitaire	solitaire
bien	bien
contraire	contraire
d'	de
où	où
nécessité	nécessité
disposer	disposer
d'	de
une	un
équipe	équipe
et	et
seconde	second
chance	chance
d'	de
avoir	avoir
recruté	recruter
montpellier	montpellier
ville	ville
magnifique	magnifique
dispose	dispose
d'	de
un	un
potentiel	potentiel
exceptionnel	exceptionnel
d'	de
un	un
réputé	réputé
mondialement	mondialement
lirmm	lirmm
ce	ce
exceptionnel	exceptionnel
renferme	renferm
équipe	équipe
robotique	robotique
concentre	concentrer
grands	grand
talents	talent
lesquels	lequel
je	je
travaille	travailler
quotidien	quotidien
et	et
tous	tout
ensemble	ensemble
avons	avoir
pu	pouvoir
transformer	transformer
nos	notre
idées	idée
produits	produit
france	france
europe	europe
etats-unis	etats-unis
japon	japon
créer	créer
entreprise	entreprise
wany	wany
robotics	robotics
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
françois	françois
pierrot	pierrot
rappelle	rappell
démarche	démarche
d'	de
innovation	innovation
conjonction	conjonction
d'	de
un	un
problème	problème
théorique	théorique
qui	qui
général	général
sert	sert
fil	fil
conducteur	conducteur
thèse	thèse
d'	de
un	un
problème	problème
industriel	industriel
de	de
rencontre	rencontre
émerger	émerger
prototypes	prototype
cohérents	cohérent
démarche	démarche
scientifique	scientifique
théorique	théorique
proche	proche
besoin	besoin
industriel	industriel
c'	ce
est	être
partir	partir
prototypes	prototype
allons	aller
pouvoir	pouvoir
démonstrations	démonstration
auprès	auprès
d'	de
industriels	industriel
potentiellement	potentiellement
intéressés	intéresser
chercher	chercher
aller	aller
loin	loin
possible	possible
d'	de
aboutir	aboutir
solutions	solution
crédibles	crédible
puissent	pouvoir
avoir	avoir
sens	sens
scientifique	scientifique
technique	technique
et	et
éventuellement	éventuellement
économique	économique
l'	le
objectif	objectif
mettre	mettre
produit	produit
marché	marché
résume	résumer
-t	-t
-il	il
c'	ce
est	être
appliquant	appliquer
démarche	démarche
équipe	équipe
conçu	concevoir
robot	robot
parallèle	parallèle
rapide	rapide
marché	marché
mondial	mondial
la	le
clé	clé
l'	le
innovation	innovation
robot	robot
quatre	quatre
chaînes	chaîne
parallèle	parallèle
agissent	agir
toutes	tout
temps	temps
seul	seul
organe	organe
permet	permettre
déplacer	déplacer
extrêmement	extrêmement
vite	vite
exemple	exemple
chocolats	chocolat
lors	lors
mise	mise
boîte	boîte
poissons	poisson
barquettes	barquette
voire	voire
secteur	secteur
microélectronique	microélectronique
déplacer	déplacer
vite	vite
possible	possible
composants	composant
l'	le
on	on
cherche	cherche
assembler	assembler
explique	expliquer
-t	-t
-il	il
aujourd'hui	aujourd'hui
françois	françois
pierrot	pierrot
poursuit	poursuivre
différents	différent
projets	projet
fondation	fondation
privée	priver
espagnole	espagnol
tecnalia	tecnalia
cette	ce
fondation	fondation
véritable	véritable
transformer	transformer
nos	notre
connaissances	connaissance
avantages	avantage
compétitifs	compétitif
entreprises	entreprise
souligne	souligner
chercheur	chercheur
lirmm	lirmm
il	il
quatre	quatre
ans	an
fondation	fondation
créé	créer
filiale	filiale
montpellier	montpellier
la	le
chance	chance
toujours	toujours
chance	chance
qu'	que
évoque	évoque
françois	françois
pierrot	pierrot
celle	celui
travailler	travailler
établissement	établissement
l'	le
a	avoir
laissé	laisser
vivre	vivre
vie	vie
collaborer	collaborer
collègues	collègue
remarquablement	remarquablement
créatifs	créatif
enfin	enfin
trouver	trouver
nécessaire	nécessaire
tecnalia	tecnalia
et	et
puis	pouvoir
beaucoup	beaucoup
d'	de
idées	idée
originales	original
telle	tel
recette	recette
innover	innover
selon	selon
chercheur	chercheur
montpellier	montpellier
produire	produire
biogaz	biogaz
absorber	absorber
co2	co2
grâce	grâce
micro-algues	micro-algue
utiliser	utiliser
digestion	digestion
micro-algues	micro-algue
bactéries	bactérie
produire	produire
biométhane	biométhane
biocarburant	biocarburer
apparaît	apparaître
solution	solution
prometteuse	prometteur
l'	le
avenir	avenir
avec	avec
croissance	croissance
rapide	rapide
autres	autre
végétaux	végétal
utilisation	utilisation
efficace	efficace
lumière	lumière
micro-algues	micro-algue
présentent	présenter
bon	bon
rendement	rendement
énergétique	énergétique
depuis	depuis
années	année
l'	le
équipe	équipe
biocore	biocore
l'	le
inria	inria
sophia	sophia
antipolis	antipolis
méditerranée	méditerranée
travaille	travailler
sujet	sujet
collaboration	collaboration
partenaires	partenaire
l'	le
inra	inra
l'	le
ifremer	ifremer
et	et
visiblement	visiblement
résultats	résultat
rendez-vous	rendez-vous
puisque	puisque
brevets	brevet
déposés	déposer
puis	pouvoir
ils	il
concernent	concerner
procédé	procéder
méthanisation	méthanisation
micro-algues	micro-algue
permet	permettre
d'	de
utiliser	utiliser
résidus	résidu
digestion	digestion
l'	le
ammoniac	ammoniac
engrais	engrai
phosphatés	phosphaté
nourrir	nourrir
algues	algue
elles	lui
mêmes	même
le	le
couplage	couplage
production	production
culture	culture
permet	permettre
limiter	limiter
rejets	rejet
l'	le
environnement	environnement
de	de
plus	plus
gaz	gaz
carbonique	carbonique
fixé	fixer
micro-algues	micro-algue
photosynthèse	photosynthèse
valorisé	valoriser
aujourd'hui	aujourd'hui
l'	le
inria	inria
partenaires	partenaire
entament	entament
seconde	second
phase	phase
d'	de
optimisation	optimisation
procédé	procéder
anr	anr
agence	agence
nationale	nationale
recherche	recherche
symbiose	symbiose
auquel	auquel
participent	participer
ecosym	ecosym
cnrs	cnrs
l'	le
entreprise	entreprise
naskéo	naskéo
environnement	environnement
spécialisée	spécialiser
valorisation	valorisation
déchets	déchet
cela	celer
passe	passer
modélisation	modélisation
croissance	croissance
comportement	comportement
populations	population
d'	de
algues	algue
bactéries	bactérie
ainsi	ainsi
l'	le
équipe	équipe
biocore	biocore
l'	le
inria	inria
conçu	concevoir
modèles	modèle
comportement	comportement
micro-algues	micro-algue
bactéries	bactérie
modèles	modèle
qui	qui
second	second
temps	temps
implantés	implanté
simulateurs	simulateur
numériques	numérique
grâce	grâce
derniers	dernier
possible	possible
réaliser	réaliser
expérimentations	expérimentation
in	in
silico	silico
moindre	moindre
coût	coût
exemple	exemple
estimer	estimer
meilleures	meilleur
conditions	condition
d'	de
exposition	exposition
soleil	soleil
d'	de
alimentation	alimentation
algues	algue
production	production
d'	de
une	un
quantité	quantité
élevée	élevé
biogaz	biogaz
la	le
mise	mise
place	place
d'	de
un	un
premier	premier
système	système
pilote	pilot
extérieur	extérieur
composé	composer
d'	de
un	un
bassin	bassin
culture	culture
ovoïde	ovoïde
d'	de
un	un
méthaniseur	méthaniseur
permettre	permettre
valider	valider
conditions	condition
réelles	réel
résultats	résultat
obtenus	obtenir
laboratoire	laboratoir
restera	rester
ensuite	ensuite
franchir	franchir
nouvelle	nouveau
étape	étape
celle	celui
pilote	pilote
industriel	industriel
pour	pour
l'	le
heure	heure
autre	autre
piste	pist
explorer	explorer
symbiose	symbiose
il	il
s'	se
agit	agir
d'	de
utiliser	utiliser
micro-algues	micro-algue
nettoyer	nettoyer
fumées	fumer
d'	de
usines	usine
les	le
micro-algues	micro-algue
peuvent	pouvoir
ingérer	ingérer
proportion	proportion
co2	co2
croissance	croissance
aussi	aussi
pourrait	pouvoir
-on	on
utiliser	utiliser
étape	étape
sorte	sorte
filtre	filtre
avant	avant
réutiliser	réutiliser
seconde	second
produire	produire
biogaz	biogaz
biocarburant	biocarburer
des	un
réseaux	réseau
sans	sans
fil	fil
moindre	moindre
coût	coût
usines	usine
le	le
réseau	réseau
sans	sans
fil	fil
concept	concept
évoque	évoqu
évidemment	évidemment
secteurs	secteur
téléphonie	téléphonie
l'	le
internet	internet
mobiles	mobile
pour	pour
autant	autant
existe	exister
d'	de
autres	autre
types	type
réseaux	réseal
sans	sans
fil	fil
complexes	complexe
fonctionnement	fonctionnement
nécessite	nécessiter
l'	le
utilisation	utilisation
fixes	fixe
télécommunications	télécommunications
mobiles	mobile
il	il
s'	se
agit	agir
réseaux	réseau
permettent	permettre
communiquer	communiquer
dispersés	disperser
vastes	vaste
sites	site
industriels	industriel
non	non
équipés	équiper
réseau	réseau
câblé	câblé
d'	de
indiquer	indiquer
dépassement	dépassement
d'	de
un	un
seuil	seuil
pollution	pollution
degré	degré
d'	de
usure	usure
d'	de
éléments	élément
machines	machine
le	le
problème	problème
informations	information
envoyées	envoyer
ondes	onde
radio	radio
portée	porter
n'	ne
est	être
quelques	quelque
dizaines	dizaine
mètres	mètre
d'	de
où	où
nécessité	nécessité
d'	de
utiliser	utiliser
intermédiaires	intermédiaire
la	le
difficulté	difficulté
combiner	combiner
exigences	exigence
industriels	industriel
savoir	savoir
minimiser	minimiser
consommation	consommation
énergétique	énergétique
plupart	plupart
fonctionnant	fonctionner
batteries	batterie
garantir	garantir
l'	le
envoi	envoi
message	message
délais	délai
impartis	impartir
compatible	compatible
interfaces	interface
existantes	existant
explique	expliquer
pascale	pascal
minet	minet
l'	le
équipe	équipe
projet	projet
hipercom	hipercom
l'	le
inria	inria
ajoutons	ajouton
disposant	disposer
capacités	capacité
mémoire	mémoire
limitées	limitée
programmes	programme
développés	développé
doivent	devoir
simples	simple
dans	dans
anr	anr
agence	agence
nationale	nationale
recherche	recherche
ocari	ocari
coordonne	coordonne
edf	edf
rassemble	rassembler
bien	bien
acteurs	acteur
secteur	secteur
académique	académique
universités	université
clermont	clermont
ferrand	ferrand
toulouse	toulouse
paris	paris
sud	sud
l'	le
inria	inria
industriels	industriel
dcns	dcn
telit	telit
l'	le
inria	inria
mis	mettre
point	point
protocole	protocole
permet	permettre
choisir	choisir
bons	bon
prenant	prendre
compte	compte
l'	le
existence	existence
mobile	mobile
exemple	exemple
portés	porté
intervenant	intervenir
humain	humain
des	un
disposent	disposer
états	état
possibles	possible
transmission	transmission
réception	réception
veille	veille
notre	notre
protocole	protocole
vise	viser
laisser	laisser
souvent	souvent
veille	veille
garantissant	garantir
l'	le
envoi	envoi
message	message
délais	délai
évitant	éviter
passer	passer
toujours	toujours
mêmes	même
capteurs	capteur
précise	préciser
chercheuse	chercheur
l'	le
inria	inria
dès	dès
septembre	septembre
prochain	prochain
tests	test
vraie	vraie
grandeur	grandeur
doivent	devoir
réalisés	réaliser
usines	usine
d'	de
edf	edf
constructeur	constructeur
naval	naval
militaire	militaire
qu'	que
est	être
dcns	dcns
caractéristiques	caractéristique
mise	mise
service	service
grande	grand
base	base
données	donnée
monde	monde
ce	ce
caractéristiques	caractéristique
structurales	structural
physiologiques	physiologiquer
reproductives	reproductive
déterminent	déterminent
manière	manière
celles-ci	celui-ci
battent	battent
avoir	avoir
accès	accès
ressources	ressource
grandissent	grandir
affectent	affectent
écosystèmes	écosystème
or	or
connaître	connaître
traits	trait
fonctionnels	fonctionnel
appelle	appeler
utile	utile
déterminer	déterminer
l'	le
influence	influence
végétaux	végétal
cycles	cycle
l'	le
eau	eau
carbone	carbone
mais	mais
rassembler	rassembler
données	donnée
grand	grand
nombre	nombre
d'	de
espèces	espèce
alimenter	alimenter
modèles	modèle
permettre	permettre
derniers	dernier
mieux	mieux
représenter	représenter
effets	effet
changements	changement
environnementaux	environnemental
réchauffement	réchauffemer
climatique	climatique
écosystèmes	écosystème
resté	rester
difficile	difficile
jusqu'	jusque
ici	ici
d'	de
où	où
l'	le
importance	importance
l'	le
initiative	initiative
try	try
qui	qui
compilant	compiler
bases	base
données	donnée
constitue	constituer
aujourd'hui	aujourd'hui
grande	grand
base	base
données	donnée
caractéristiques	caractéristique
plantes	plante
une	un
base	base
données	donnée
l'	le
intérieur	intérieur
laquelle	lequel
traits	trait
fonctionnels	fonctionnel
classés	classer
groupes	groupe
vont	aller
hauteur	hauteur
longévité	longévité
plante	plante
taille	taille
graine	graine
passant	passer
contenu	contenu
azote	azote
feuille	feuill
porosité	porosité
bois	bois
collaboration	collaboration
nombreux	nombreux
scientifiques	scientifique
issus	issu
laboratoires	laboratoire
monde	monde
laboratoire	laboratoire
d'	de
ecologie	ecologie
alpine	alpine
cnrs	cnrs
université	université
joseph	joseph
fourier	fourier
université	université
savoie	savoie
grenoble	grenoble
centre	centre
d'	de
ecologie	ecologie
fonctionnelle	fonctionnelle
evolutive	evolutive
cnrs	cnrs
universités	universités
montpellier	montpellier
nîmes	nîme
/	sur
supagro	supagro
/	sur
cirad	cirad
ephe	ephe
ird	ird
inra	inra
montpellier	montpellier
auront	avoir
nécessaires	nécessaire
compiler	compiler
millions	million
données	donnée
concernant	concerner
espèces	espèce
existantes	existant
try	try
devrait	devoir
permettre	permettre
d'	de
améliorer	améliorer
modélisation	modélisation
système	système
terre	terre
remettant	remettre
cause	cause
manière	manière
modèles	modèle
globaux	global
végétation	végétation
classent	classer
nombre	nombre
réduit	réduire
grands	grand
types	type
exemple	exemple
arbres	arbre
feuillage	feuillage
persistant	persister
ainsi	ainsi
premières	premier
analyses	analyse
réalisées	réaliser
l'	le
aide	aide
base	base
montré	montrer
variabilité	variabilité
traits	trait
fonctionnels	fonctionnel
était	être
importante	important
types	type
les	le
individus	individu
d'	de
une	un
espèce	espèce
peuvent	pouvoir
montrer	montrer
différences	différence
significatives	significatif
eux	lui
fonction	fonction
contraintes	contraindre
environnementales	environnemental
auxquelles	auxquelles
ils	il
soumis	soumettre
aussi	aussi
s'	se
avère	avérer
-t	-t
-il	il
nécessaire	nécessaire
construire	construire
types	type
précis	précis
basés	baser
données	donnée
terrain	terrain
modèles	modèle
utilisés	utiliser
soit	être
fiables	fiable
rendent	rendre
mieux	mieux
compte	compte
biodiversité	biodiversité
réelle	réel
premiers	premier
résultats	résultat
significatifs	significatif
d'	de
un	un
important	important
l'	le
industrie	industrie
fromagère	fromager
même	même
s'	se
il	il
existe	exister
d'	de
autres	autre
protéolytiques	protéolytique
d'	de
origine	origine
animale	animal
microbienne	microbien
voire	voire
végétale	végétal
présentent	présenter
capacité	capacité
coaguler	coaguler
lait	lait
veau	veau
reste	reste
aujourd'hui	aujourd'hui
agent	agent
coagulant	coaguler
important	important
utilisé	utiliser
étape	étape
fabrication	fabrication
d'	de
un	un
fromage	fromage
grands	grand
groupes	groupe
dizaine	dizaine
pme	pme
basées	baser
france	france
partagent	partager
énorme	énorme
marché	marché
chacun	chacun
acteurs	acteur
produisant	produire
selon	selon
mode	mode
fabrication	fabrication
lui	luire
propre	propre
c'	ce
est	être
contexte	contexte
qu'	que
a	avoir
lancé	lancer
coag	coag
labellisé	labellisé
pôle	pôle
vitagora	vitagora
principal	principal
objectif	objectif
déterminer	déterminer
quelle	quel
l'	le
influence	influence
supports	support
enzymatiques	enzymatique
rendement	rendement
qualité	qualité
fromages	fromage
produits	produit
les	le
résultats	résultat
obtenus	obtenir
lors	lors
étape	étape
confirment	confirmer
qu'	que
il	il
existe	exister
bien	bien
variabilité	variabilité
significative	significatif
non	non
enzymatique	enzymatique
coagulants	coagulant
dans	dans
fabrication	fabrication
d'	de
un	un
fromage	fromage
étape	étape
dite	dire
coagulation	coagulation
l'	le
on	on
appelle	appeler
caillage	caillage
consiste	consister
mettre	mettre
cuve	cuve
dose	dose
préparation	préparation
coagulante	coagulant
pouvant	pouvoir
varier	varier
dix	dix
