mot	lemme
d'	de
une	un
autre	autre
façon	façon
Aussi	aussi
sont	être
-ils	il
parvenus	parvenir
fabriquer	fabriquer
imageurs	imageur
corps	corps
humain	humain
grâce	grâce
auxquels	auxquels
possible	possible
d'	de
obtenir	obtenir
images	image
seconde	second
corps	corps
humain	humain
Nous	nous
avons	avoir
pu	pouvoir
découvrir	découvrir
corps	corps
humain	humain
était	être
parcouru	parcourir
d'	de
ondes	onde
jamais	jamais
personne	personn
n'	ne
avait	avoir
observé	observer
jusqu'	jusque
alors	alors
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
Le	le
temps	temps
aurait	avoir
-il	il
effets	effet
l'	le
âge	âge
ceux	celui
pratiquent	pratiquer
Au	au
delà	delà
boutade	boutade
Mathias	mathia
Fink	fink
âgé	âgé
aujourd'hui	aujourd'hui
ans	an
pourrait	pouvoir
laisser	laisser
croire	croire
tant	tant
enthousiasme	enthousiasme
reste	reste
intact	intact
Ainsi	ainsi
a	avoir
-t	-t
-il	il
concrétisé	concrétiser
rapprochement	rapprochement
autre	autre
l'	le
ESPCI	ESPCI
celui	celui
d'	de
Optique	optique
Physique	Physique
créant	créer
l'	le
Institut	Institut
Langevin	Langevin
Ondes	onde
Images	Images
directeur	directeur
Arnaud	Arnaud
Tourin	Tourin
Rémi	Rémi
Carminatti	Carminatti
directeurs	directeur
adjoints	adjoint
Cette	ce
Unité	unité
Mixte	Mixte
Recherche	recherche
CNRS	CNRS
ESPCI	espci
ParisTech	paristech
/	sur
UPMC	UPMC
Université	université
Paris	Paris
Diderot	Diderot
compte	compte
centaine	centaine
personnes	personne
coeur	coeur
métier	métier
ondes	onde
Les	le
recherches	recherche
menées	mener
s'	se
étendent	étendre
concepts	concept
fondamentaux	fondamental
applications	application
poussées	pousser
l'	le
imagerie	imagerie
multi-ondes	multi-onde
acousto	acousto
optique	optique
photo-acoustique	photo-acoustiqu
élastographie	élastographie
ultrasons	ultrason
IRM	IRM
techniques	technique
originales	original
focalisation	focalisation
retournement	retournement
temporel	temporel
filtre	filtre
inverse	inverse
contrôle	contrôle
front	front
d'	de
ondes	onde
passant	passer
création	création
d'	de
entreprises	entreprise
mettant	mettre
oeuvre	oeuvre
nouvelles	nouveau
technologies	technologie
domaines	domaine
biomédical	biomédical
télécommunications	télécommunications
domotique	domotiqu
etc.	etc.
L'	le
aventure	aventure
poursuit	poursuivre
toujours	toujours
pluridisciplinarité	pluridisciplinarité
clé	cler
notre	notre
réussite	réussite
Aussi	aussi
faut	falloir
-il	il
impérativement	impérativement
préserver	préserver
conclut	conclure
-il	il
Recherche	recherche
l'	le
environnement	environnement
AllEnvi	allenvi
publie	publier
premier	premier
rapport	rapport
Alimentation	alimentation
Eau	Eau
Climat	climat
Territoires	territoire
constituent	constituer
quatre	quatre
grands	grand
enjeux	enjeu
d'	de
AllEnvi	AllEnvi
De	de
véritables	véritable
défis	défi
relever	relever
décennies	décennie
venir	venir
puisqu'	puisque
il	il
s'	se
agira	agir
matière	matière
d'	de
alimentation	alimentation
parvenir	parvenir
nourrir	nourrir
milliards	milliard
d'	de
individus	individu
l'	le
horizon	horizon
Concernant	concerner
l'	le
eau	eau
accès	accès
devra	devoir
garanti	garantir
plan	plan
mondial	mondial
non	non
seulement	seulement
qualité	qualité
nécessairement	nécessairement
quantité	quantité
Autre	autre
défi	défi
taille	taille
auquel	auquel
l'	le
humanité	humanité
devra	devoir
face	face
changements	changement
l'	le
érosion	érosion
biodiversité	biodiversité
Enfin	enfin
toutes	tout
populations	population
planète	planète
devront	devoir
respecter	respecter
impératif	impératif
celui	celui
qualité	qualité
environnementale	environnemental
territoires	territoire
Au	au
d'	de
AllEnvi	allenvi
travail	travail
organisé	organiser
groupes	groupe
thématiques	thématique
réunissant	réunir
experts	expert
scientifiques	scientifique
Agroécologie	agroécologie
Sol	Sol
Aliments	aliment
Alimentation	alimentation
Biodiversité	Biodiversité
Biologie	biologie
plantes	plante
Climat	Climat
Evolution	evolution
Adaptation	adaptation
Atténuation	Atténuation
Impacts	Impacts
Eau	Eau
Ecotechnologies	ecotechnologie
Chimie	chimie
durable	durable
Sciences	science
mer	mer
Ressources	ressource
marines	marin
Risques	risque
environnementaux	environnemental
naturels	naturel
écotoxiques	écotoxique
Territoires	territoire
Ressources	ressource
naturelles	naturel
Villes	ville
Mobilités	mobilité
Evaluation	evaluation
environnementale	environnemental
Cycle	Cycle
vie	vie
Un	un
nouvel	nouveau
élan	élan
initié	initier
déclare	déclarer
Président	président
d'	de
AllEnvi	AllEnvi
Il	il
revient	revenir
maintenant	maintenant
nos	notre
scientifiques	scientifique
chercheurs	chercheur
ingénieurs	ingénieur
techniciens	technicien
d'	de
identifier	identifier
concevoir	concevoir
valider	valider
déployer	déployer
solutions	solution
permettront	permettre
relever	relever
défis	défi
transition	transition
écologique	écologique
vers	vers
croissante	croissant
verte	verte
conclut	conclure
-il	il
l'	le
introduction	introduction
premier	premier
rapport	rapport
publié	publier
Alliance	alliance
nationale	national
l'	le
Environnement	environnement
Une	un
médaille	médaille
l'	le
innovation	innovation
récompense	récompense
roboticien	roboticien
cesse	cesse
d'	de
innover	innover
Le	le
avril	avril
dernier	dernier
CNRS	CNRS
décerné	décerné
Médaille	Médaille
l'	le
Innovation	innovation
Parmi	parmi
lauréats	lauréat
François	François
Pierrot	Pierrot
directeur	directeur
CNRS	CNRS
Laboratoire	laboratoire
d'	de
Informatique	Informatique
Robotique	robotique
Microélectronique	Microélectronique
Montpellier	Montpellier
LIRMM	LIRMM
Réputé	réputé
mondialement	mondialement
roboticien	roboticien
participé	participer
conception	conception
robot	robot
parallèle	parallèle
rapide	rapide
brevet	brevet
racheté	racheter
l'	le
entreprise	entreprise
américaine	américain
leader	leader
domaine	domaine
systèmes	système
robotisés	robotiser
Adept	Adept
Autant	autant
dire	dire
contrairement	contrairement
beaucoup	beaucoup
gens	gens
dissertent	dissertent
l'	le
innovation	innovation
chercheur	chercheur
lui	luire
sait	savoir
qu'	que
est	être
l'	le
innovation	innovation
puisqu'	puisque
il	il
vit	voir
pratique	pratique
quotidien	quotidien
Qui	qui
est	être
parle	parle
remarquablement	remarquablemer
bien	bien
Pour	pour
innover	innover
faut	falloir
évidemment	évidemment
idées	idée
c'	ce
est	être
indispensable	indispensable
souvent	souvent
beaucoup	beaucoup
chance	chance
Or	or
début	début
ma	mon
carrière	carrière
je	je
n'	ne
ai	avoir
cessé	cesser
d'	de
en	en
avoir	avoir
déclare	déclarer
-t	-t
-il	il
d'	de
emblée	emblée
Il	il
rappelle	rappeler
chance	chance
carrière	carrière
professionnelle	professionnel
d'	de
avoir	avoir
recruté	recruter
CNRS	CNRS
qui	qui
me	me
soutient	soutenir
vingt	vingt
m'	me
accorde	accorder
grande	grand
liberté	liberté
mon	mon
travail	travail
important	important
Pour	pour
lui	luire
l'	le
innovation	innovation
n'	ne
est	être
travail	travail
solitaire	solitaire
bien	bien
contraire	contraire
D'	de
où	où
nécessité	nécessité
disposer	disposer
d'	de
une	un
équipe	équipe
Et	et
seconde	second
chance	chance
d'	de
avoir	avoir
recruté	recruter
Montpellier	Montpellier
ville	ville
magnifique	magnifique
dispose	dispose
d'	de
un	un
potentiel	potentiel
exceptionnel	exceptionnel
d'	de
un	un
réputé	réputé
mondialement	mondialement
LIRMM	LIRMM
Ce	ce
exceptionnel	exceptionnel
renferme	renferm
équipe	équipe
robotique	robotique
concentre	concentrer
grands	grand
talents	talent
lesquels	lequel
je	je
travaille	travailler
quotidien	quotidien
Et	et
tous	tout
ensemble	ensemble
avons	avoir
pu	pouvoir
transformer	transformer
nos	notre
idées	idée
produits	produit
France	France
Europe	Europe
Etats-Unis	Etats-Unis
Japon	Japon
créer	créer
entreprise	entreprise
Wany	Wany
Robotics	Robotics
s'	se
enthousiasme	enthousiasmer
-t	-t
-il	il
François	François
Pierrot	Pierrot
rappelle	rappell
démarche	démarche
d'	de
innovation	innovation
conjonction	conjonction
d'	de
un	un
problème	problème
théorique	théorique
qui	qui
général	général
sert	sert
fil	fil
conducteur	conducteur
thèse	thèse
d'	de
un	un
problème	problème
industriel	industriel
De	de
rencontre	rencontre
émerger	émerger
prototypes	prototype
cohérents	cohérent
démarche	démarche
scientifique	scientifique
théorique	théorique
proche	proche
besoin	besoin
industriel	industriel
C'	ce
est	être
partir	partir
prototypes	prototype
allons	aller
pouvoir	pouvoir
démonstrations	démonstration
auprès	auprès
d'	de
industriels	industriel
potentiellement	potentiellement
intéressés	intéresser
chercher	chercher
aller	aller
loin	loin
possible	possible
d'	de
aboutir	aboutir
solutions	solution
crédibles	crédible
puissent	pouvoir
avoir	avoir
sens	sens
scientifique	scientifique
technique	technique
et	et
éventuellement	éventuellement
économique	économique
l'	le
objectif	objectif
mettre	mettre
produit	produit
marché	marché
résume	résumer
-t	-t
-il	il
C'	ce
est	être
appliquant	appliquer
démarche	démarche
équipe	équipe
conçu	concevoir
robot	robot
parallèle	parallèle
rapide	rapide
marché	marché
mondial	mondial
La	le
clé	clé
l'	le
innovation	innovation
robot	robot
quatre	quatre
chaînes	chaîne
parallèle	parallèle
agissent	agir
toutes	tout
temps	temps
seul	seul
organe	organe
permet	permettre
déplacer	déplacer
extrêmement	extrêmement
vite	vite
exemple	exemple
chocolats	chocolat
lors	lors
mise	mise
boîte	boîte
poissons	poisson
barquettes	barquette
voire	voire
secteur	secteur
microélectronique	microélectronique
déplacer	déplacer
vite	vite
possible	possible
composants	composant
l'	le
on	on
cherche	cherche
assembler	assembler
explique	expliquer
-t	-t
-il	il
Aujourd'hui	aujourd'hui
François	François
Pierrot	Pierrot
poursuit	poursuivre
différents	différent
projets	projet
fondation	fondation
privée	priver
espagnole	espagnol
Tecnalia	Tecnalia
Cette	ce
fondation	fondation
véritable	véritable
transformer	transformer
nos	notre
connaissances	connaissance
avantages	avantage
compétitifs	compétitif
entreprises	entreprise
souligne	souligner
chercheur	chercheur
Lirmm	Lirmm
Il	il
quatre	quatre
ans	an
fondation	fondation
créé	créer
filiale	filiale
Montpellier	Montpellier
La	le
chance	chance
toujours	toujours
chance	chance
qu'	que
évoque	évoque
François	François
Pierrot	Pierrot
Celle	celui
travailler	travailler
établissement	établissement
l'	le
a	avoir
laissé	laisser
vivre	vivre
vie	vie
collaborer	collaborer
collègues	collègue
remarquablement	remarquablement
créatifs	créatif
enfin	enfin
trouver	trouver
nécessaire	nécessaire
Tecnalia	Tecnalia
Et	et
puis	pouvoir
beaucoup	beaucoup
d'	de
idées	idée
originales	original
Telle	tel
recette	recette
innover	innover
selon	selon
chercheur	chercheur
Montpellier	Montpellier
Produire	produire
biogaz	biogaz
absorber	absorber
CO2	co2
grâce	grâce
micro-algues	micro-algue
Utiliser	utiliser
digestion	digestion
micro-algues	micro-algue
bactéries	bactérie
produire	produire
biométhane	biométhane
biocarburant	biocarburer
apparaît	apparaître
solution	solution
prometteuse	prometteur
l'	le
avenir	avenir
Avec	avec
croissance	croissance
rapide	rapide
autres	autre
végétaux	végétal
utilisation	utilisation
efficace	efficace
lumière	lumière
micro-algues	micro-algue
présentent	présenter
bon	bon
rendement	rendement
énergétique	énergétique
Depuis	depuis
années	année
l'	le
équipe	équipe
Biocore	Biocore
l'	le
Inria	inria
Sophia	Sophia
Antipolis	Antipolis
Méditerranée	Méditerranée
travaille	travailler
sujet	sujet
collaboration	collaboration
partenaires	partenaire
l'	le
Inra	inra
l'	le
Ifremer	Ifremer
Et	et
visiblement	visiblement
résultats	résultat
rendez-vous	rendez-vous
puisque	puisque
brevets	brevet
déposés	déposer
puis	pouvoir
Ils	il
concernent	concerner
procédé	procéder
méthanisation	méthanisation
micro-algues	micro-algue
permet	permettre
d'	de
utiliser	utiliser
résidus	résidu
digestion	digestion
l'	le
ammoniac	ammoniac
engrais	engrai
phosphatés	phosphaté
nourrir	nourrir
algues	algue
elles	lui
mêmes	même
Le	le
couplage	couplage
production	production
culture	culture
permet	permettre
limiter	limiter
rejets	rejet
l'	le
environnement	environnement
De	de
plus	plus
gaz	gaz
carbonique	carbonique
fixé	fixer
micro-algues	micro-algue
photosynthèse	photosynthèse
valorisé	valoriser
Aujourd'hui	aujourd'hui
l'	le
Inria	inria
partenaires	partenaire
entament	entament
seconde	second
phase	phase
d'	de
optimisation	optimisation
procédé	procéder
ANR	anr
Agence	Agence
Nationale	Nationale
Recherche	recherche
Symbiose	Symbiose
auquel	auquel
participent	participer
Ecosym	Ecosym
CNRS	CNRS
l'	le
entreprise	entreprise
Naskéo	Naskéo
Environnement	Environnement
spécialisée	spécialiser
valorisation	valorisation
déchets	déchet
Cela	celer
passe	passer
modélisation	modélisation
croissance	croissance
comportement	comportement
populations	population
d'	de
algues	algue
bactéries	bactérie
Ainsi	ainsi
l'	le
équipe	équipe
Biocore	Biocore
l'	le
Inria	inria
conçu	concevoir
modèles	modèle
comportement	comportement
micro-algues	micro-algue
bactéries	bactérie
modèles	modèle
qui	qui
second	second
temps	temps
implantés	implanté
simulateurs	simulateur
numériques	numérique
Grâce	grâce
derniers	dernier
possible	possible
réaliser	réaliser
expérimentations	expérimentation
in	in
silico	silico
moindre	moindre
coût	coût
exemple	exemple
estimer	estimer
meilleures	meilleur
conditions	condition
d'	de
exposition	exposition
soleil	soleil
d'	de
alimentation	alimentation
algues	algue
production	production
d'	de
une	un
quantité	quantité
élevée	élevé
biogaz	biogaz
La	le
mise	mise
place	place
d'	de
un	un
premier	premier
système	système
pilote	pilot
extérieur	extérieur
composé	composer
d'	de
un	un
bassin	bassin
culture	culture
ovoïde	ovoïde
d'	de
un	un
méthaniseur	méthaniseur
permettre	permettre
valider	valider
conditions	condition
réelles	réel
résultats	résultat
obtenus	obtenir
laboratoire	laboratoir
Restera	rester
ensuite	ensuite
franchir	franchir
nouvelle	nouveau
étape	étape
celle	celui
pilote	pilote
industriel	industriel
Pour	pour
l'	le
heure	heure
autre	autre
piste	pist
explorer	explorer
Symbiose	Symbiose
Il	il
s'	se
agit	agir
d'	de
utiliser	utiliser
micro-algues	micro-algue
nettoyer	nettoyer
fumées	fumer
d'	de
usines	usine
Les	le
micro-algues	micro-algue
peuvent	pouvoir
ingérer	ingérer
proportion	proportion
CO2	co2
croissance	croissance
Aussi	aussi
pourrait	pouvoir
-on	on
utiliser	utiliser
étape	étape
sorte	sorte
filtre	filtre
avant	avant
réutiliser	réutiliser
seconde	second
produire	produire
biogaz	biogaz
biocarburant	biocarburer
Des	un
réseaux	réseau
sans	sans
fil	fil
moindre	moindre
coût	coût
usines	usine
Le	le
réseau	réseau
sans	sans
fil	fil
concept	concept
évoque	évoqu
évidemment	évidemment
secteurs	secteur
téléphonie	téléphonie
l'	le
Internet	internet
mobiles	mobile
Pour	pour
autant	autant
existe	exister
d'	de
autres	autre
types	type
réseaux	réseal
sans	sans
fil	fil
complexes	complexe
fonctionnement	fonctionnement
nécessite	nécessiter
l'	le
utilisation	utilisation
fixes	fixe
télécommunications	télécommunications
mobiles	mobile
Il	il
s'	se
agit	agir
réseaux	réseau
permettent	permettre
communiquer	communiquer
dispersés	disperser
vastes	vaste
sites	site
industriels	industriel
non	non
équipés	équiper
réseau	réseau
câblé	câblé
d'	de
indiquer	indiquer
dépassement	dépassement
d'	de
un	un
seuil	seuil
pollution	pollution
degré	degré
d'	de
usure	usure
d'	de
éléments	élément
machines	machine
Le	le
problème	problème
informations	information
envoyées	envoyer
ondes	onde
radio	radio
portée	porter
n'	ne
est	être
quelques	quelque
dizaines	dizaine
mètres	mètre
D'	de
où	où
nécessité	nécessité
d'	de
utiliser	utiliser
intermédiaires	intermédiaire
La	le
difficulté	difficulté
combiner	combiner
exigences	exigence
industriels	industriel
savoir	savoir
minimiser	minimiser
consommation	consommation
énergétique	énergétique
plupart	plupart
fonctionnant	fonctionner
batteries	batterie
garantir	garantir
l'	le
envoi	envoi
message	message
délais	délai
impartis	impartir
compatible	compatible
interfaces	interface
existantes	existant
explique	expliquer
Pascale	pascal
Minet	Minet
l'	le
équipe	équipe
projet	projet
Hipercom	Hipercom
l'	le
Inria	Inria
Ajoutons	ajouton
disposant	disposer
capacités	capacité
mémoire	mémoire
limitées	limitée
programmes	programme
développés	développé
doivent	devoir
simples	simple
Dans	dans
ANR	ANR
Agence	Agence
Nationale	Nationale
Recherche	recherche
Ocari	Ocari
coordonne	coordonne
EDF	EDF
rassemble	rassembler
bien	bien
acteurs	acteur
secteur	secteur
académique	académique
universités	université
Clermont	Clermont
Ferrand	Ferrand
Toulouse	Toulouse
Paris	Paris
Sud	Sud
l'	le
Inria	inria
industriels	industriel
DCNS	dcn
Telit	Telit
l'	le
Inria	inria
mis	mettre
point	point
protocole	protocole
permet	permettre
choisir	choisir
bons	bon
prenant	prendre
compte	compte
l'	le
existence	existence
mobile	mobile
exemple	exemple
portés	porté
intervenant	intervenir
humain	humain
Des	un
disposent	disposer
états	état
possibles	possible
transmission	transmission
réception	réception
veille	veille
Notre	notre
protocole	protocole
vise	viser
laisser	laisser
souvent	souvent
veille	veille
garantissant	garantir
l'	le
envoi	envoi
message	message
délais	délai
évitant	éviter
passer	passer
toujours	toujours
mêmes	même
capteurs	capteur
précise	préciser
chercheuse	chercheur
l'	le
Inria	Inria
Dès	dès
septembre	septembre
prochain	prochain
tests	test
vraie	vraie
grandeur	grandeur
doivent	devoir
réalisés	réaliser
usines	usine
d'	de
EDF	EDF
constructeur	constructeur
naval	naval
militaire	militaire
qu'	que
est	être
DCNS	DCNS
Caractéristiques	caractéristique
mise	mise
service	service
grande	grand
base	base
données	donnée
monde	monde
Ce	ce
caractéristiques	caractéristique
structurales	structural
physiologiques	physiologiquer
reproductives	reproductive
déterminent	déterminent
manière	manière
celles-ci	celui-ci
battent	battent
avoir	avoir
accès	accès
ressources	ressource
grandissent	grandir
affectent	affectent
écosystèmes	écosystème
Or	or
connaître	connaître
traits	trait
fonctionnels	fonctionnel
appelle	appeler
utile	utile
déterminer	déterminer
l'	le
influence	influence
végétaux	végétal
cycles	cycle
l'	le
eau	eau
carbone	carbone
Mais	mais
rassembler	rassembler
données	donnée
grand	grand
nombre	nombre
d'	de
espèces	espèce
alimenter	alimenter
modèles	modèle
permettre	permettre
derniers	dernier
mieux	mieux
représenter	représenter
effets	effet
changements	changement
environnementaux	environnemental
réchauffement	réchauffemer
climatique	climatique
écosystèmes	écosystème
resté	rester
difficile	difficile
jusqu'	jusque
ici	ici
D'	de
où	où
l'	le
importance	importance
l'	le
initiative	initiative
TRY	try
qui	qui
compilant	compiler
bases	base
données	donnée
constitue	constituer
aujourd'hui	aujourd'hui
grande	grand
base	base
données	donnée
caractéristiques	caractéristique
plantes	plante
Une	un
base	base
données	donnée
l'	le
intérieur	intérieur
laquelle	lequel
traits	trait
fonctionnels	fonctionnel
classés	classer
groupes	groupe
vont	aller
hauteur	hauteur
longévité	longévité
plante	plante
taille	taille
graine	graine
passant	passer
contenu	contenu
azote	azote
feuille	feuill
porosité	porosité
bois	bois
collaboration	collaboration
nombreux	nombreux
scientifiques	scientifique
issus	issu
laboratoires	laboratoire
monde	monde
Laboratoire	laboratoire
d'	de
Ecologie	ecologie
Alpine	Alpine
CNRS	CNRS
Université	université
Joseph	Joseph
Fourier	Fourier
Université	université
Savoie	Savoie
Grenoble	Grenoble
Centre	centre
d'	de
Ecologie	ecologie
Fonctionnelle	fonctionnelle
Evolutive	Evolutive
CNRS	CNRS
Universités	Universités
Montpellier	montpellier
Nîmes	nîme
/	sur
SupAgro	SupAgro
/	sur
Cirad	Cirad
EPHE	EPHE
IRD	IRD
INRA	INRA
Montpellier	Montpellier
auront	avoir
nécessaires	nécessaire
compiler	compiler
millions	million
données	donnée
concernant	concerner
espèces	espèce
existantes	existant
TRY	try
devrait	devoir
permettre	permettre
d'	de
améliorer	améliorer
modélisation	modélisation
système	système
Terre	Terre
remettant	remettre
cause	cause
manière	manière
modèles	modèle
globaux	global
végétation	végétation
classent	classer
nombre	nombre
réduit	réduire
grands	grand
types	type
exemple	exemple
arbres	arbre
feuillage	feuillage
persistant	persister
Ainsi	ainsi
premières	premier
analyses	analyse
réalisées	réaliser
l'	le
aide	aide
base	base
montré	montrer
variabilité	variabilité
traits	trait
fonctionnels	fonctionnel
était	être
importante	important
types	type
Les	le
individus	individu
d'	de
une	un
espèce	espèce
peuvent	pouvoir
montrer	montrer
différences	différence
significatives	significatif
eux	lui
fonction	fonction
contraintes	contraindre
environnementales	environnemental
auxquelles	auxquelles
ils	il
soumis	soumettre
Aussi	aussi
s'	se
avère	avérer
-t	-t
-il	il
nécessaire	nécessaire
construire	construire
types	type
précis	précis
basés	baser
données	donnée
terrain	terrain
modèles	modèle
utilisés	utiliser
soit	être
fiables	fiable
rendent	rendre
mieux	mieux
compte	compte
biodiversité	biodiversité
réelle	réel
Premiers	premier
résultats	résultat
significatifs	significatif
d'	de
un	un
important	important
l'	le
industrie	industrie
fromagère	fromager
Même	même
s'	se
il	il
existe	exister
d'	de
autres	autre
protéolytiques	protéolytique
d'	de
origine	origine
animale	animal
microbienne	microbien
voire	voire
végétale	végétal
présentent	présenter
capacité	capacité
coaguler	coaguler
lait	lait
veau	veau
reste	reste
aujourd'hui	aujourd'hui
agent	agent
coagulant	coaguler
important	important
utilisé	utiliser
étape	étape
fabrication	fabrication
d'	de
un	un
fromage	fromage
grands	grand
groupes	groupe
dizaine	dizaine
PME	pme
basées	baser
France	France
partagent	partager
énorme	énorme
marché	marché
chacun	chacun
