mot	racine
sénartaises	sénartais
colloques	colloqu
seront	seront
l'	l'
occasion	occas
développer	développ
nouveaux	nouveau
partenariats	partenariat
2ème	2em
édition	édit
CONNEXIONS	connex
R&D	r&d
autour	autour
cosmétologie	cosmétolog
Le	le
décembre	décembr
Orléans	orléan
pôle	pôl
compétitivité	compétit
Cosmetic	cosmetic
Valley	valley
organise	organis
2ème	2em
édition	édit
CONNEXIONS	connex
R&D.	r&d.
Cette	cet
événement	éven
dédié	dédi
cosmétologie	cosmétolog
sera	ser
l'	l'
occasion	occas
d'	d'
échanges	échang
directs	direct
laboratoires	laboratoir
publics	public
directeurs	directeur
responsables	respons
R&D	r&d
entreprises	entrepris
parfumerie	parfumer
cosmétique	cosmet
Au	au
programme	programm
rendez-vous	rendez-vous
B	b
to	to
B	b
quatre	quatr
ateliers	ateli
thématiques	thémat
ressources	ressourc
marines	marin
biotechnologies	biotechnolog
packaging	packaging
actif	actif
instrumentation	instrument
mesure	mesur
Reconnu	reconnu
expertise	expertis
biotechnologies	biotechnolog
valorisation	valoris
ressources	ressourc
marines	marin
références	référent
domaine	domain
cosmétique	cosmet
rôle	rôl
promotion	promot
savoir	savoir
faire	fair
industriels	industriel
académiques	academ
bretons	breton
Centre	centr
Biotechnologies	biotechnolog
Bretagne	bretagn
CBB	cbb
Développement	développ
sera	ser
l'	l'
invité	invit
d'	d'
honneur	honneur
2è	2è
édition	édit
partenaires	partenair
acteurs	acteur
bretons	breton
l'	l'
innovation	innov
Une	une
PME	pme
démocratise	démocratis
l'	l'
atmosphère	atmospher
contrôlée	contrôl
filière	fili
agricole	agricol
Créée	cré
mai	mai
société	societ
Janny	janny
MT	mt
présidée	présid
Pierre	pierr
Janny	janny
ingénieur	ingénieur
agronome	agronom
propose	propos
produits	produit
distincts	distinct
basés	bas
brevet	brevet
révolutionnaire	révolutionnair
équipement	équip
conservation	conserv
produits	produit
frais	frais
atmosphère	atmospher
contrôlée	contrôl
autre	autr
stockage	stockag
transport	transport
hermétiques	hermet
Ingénieur	ingénieur
diplômé	diplôm
l'	l'
Institut	institut
Supérieur	supérieur
d'	d'
Agriculture	agricultur
Beauvais	beauv
ISAB	isab
Benoit	benoit
Janny	janny
directeur	directeur
général	général
rejoint	rejoint
société	societ
appuyer	appui
produits	produit
tant	tant
plan	plan
technologique	technolog
commercial	commercial
Aujourd'hui	aujourd'hui
technologies	technolog
chambres	chambr
froides	froid
classiques	classiqu
permettent	permettent
conserver	conserv
exemple	exempl
cerises	ceris
jours	jour
pommes	pomm
mois	mois
Or	or
grâce	grâc
équipement	équip
original	original
développé	développ
Pierre	pierr
Janny	janny
inventeur	inventeur
Saône	saôn
Loire	loir
producteurs	producteur
nécessitant	nécessit
souplesse	soupless
flexibilité	flexibil
matière	mati
stockage	stockag
vont	vont
pouvoir	pouvoir
désormais	désorm
conserver	conserv
cerises	ceris
jusqu'	jusqu'
à	à
jours	jour
pommes	pomm
durant	dur
mois	mois
L'	l'
équipement	équip
Janny	janny
MT	mt
présente	présent
sous	sous
forme	form
modules	modul
chaque	chaqu
module	modul
composé	compos
d'	d'
un	un
bac	bac
d'	d'
un	un
couvercle	couvercl
breveté	brevet
doté	dot
membranes	membran
perméabilité	perméabl
sélective	sélect
Ainsi	ains
équipement	équip
permet	permet
l'	l'
atmosphère	atmospher
contrôlée	contrôl
naturellement	naturel
chambres	chambr
froides	froid
classiques	classiqu
Benoit	benoit
Janny	janny
n'	n'
hésite	hésit
parler	parl
d'	d'
innovation	innov
rupture	ruptur
propos	propos
couvercle	couvercl
père	per
mis	mis
point	point
Nous	nous
démocratisons	démocratison
l'	l'
atmosphère	atmospher
contrôlée	contrôl
l'	l'
ensemble	ensembl
filière	fili
agricole	agricol
déclare	déclar
-t	-t
-il	-il
avant	avant
d'	d'
ajouter	ajout
La	la
technologie	technolog
d'	d'
atmosphère	atmospher
contrôlée	contrôl
existe	exist
l'	l'
industrie	industr
Mais	mais
jusqu'	jusqu'
à	à
présent	présent
elle	elle
concernait	concern
grandes	grand
capacités	capac
c'	c'
est	est
à	à
dire	dir
au-delà	au-delà
tonnes	ton
fruits	fruit
légumes	légum
Or	or
l'	l'
équipement	équip
proposons	proposon
s'	s'
adresse	adress
autre	autr
clientèle	clientel
souhaite	souhait
conserver	conserv
volumes	volum
tonnes	ton
Cette	cet
technologie	technolog
offre	offre
grandes	grand
possibilités	possibil
conservation	conserv
atmosphère	atmospher
contrôlée	contrôl
bien	bien
fruits	fruit
légumes	légum
champignons	champignon
fleurs	fleur
tulipes	tulip
roses	ros
C'	c'
est	est
produit	produit
était	était
attendu	attendu
profession	profess
permettre	permettr
revivre	revivr
producteurs	producteur
estime	estim
Benoit	benoit
Janny	janny
Cet	cet
équipement	équip
module	modul
apporte	apport
producteurs	producteur
souplesse	soupless
permet	permet
face	fac
inévitables	inévit
pics	pic
production	product
d'	d'
adapter	adapt
ventes	vent
marchés	march
variables	variabl
marchés	march
lesquels	lesquel
certains	certain
produits	produit
cerise	ceris
l'	l'
asperge	asperg
peut	peut
passer	pass
euros	euros
kilo	kilo
voire	voir
euros	euros
kilo	kilo
fruit	fruit
myrtille	myrtill
Nous	nous
avons	avon
observé	observ
couvercle	couvercl
breveté	brevet
sans	san
membrane	membran
garantissait	garant
parfaite	parfait
étanchéité	étanché
d'	d'
une	une
caisse	caiss
palette	palet
indique	indiqu
directeur	directeur
général	général
l'	l'
entreprise	entrepris
Aussi	auss
l'	l'
entreprise	entrepris
s'	s'
est	est
-elle	-el
aussitôt	aussitôt
positionnée	position
second	second
marché	march
celui	celui
stockage	stockag
transport	transport
Et	et
domaine	domain
possibilités	possibil
d'	d'
utilisation	utilis
immenses	immens
secteur	secteur
agroalimentaire	agroalimentair
Nous	nous
apportons	apporton
solution	solut
simple	simpl
propre	propr
produits	produit
saumure	saumur
transport	transport
olives	oliv
cerises	ceris
cardons	cardon
C'	c'
est	est
solution	solut
permet	permet
d'	d'
augmenter	augment
Dates	dat
Limites	limit
d'	d'
Utilisation	utilis
Optimale	optimal
DLUO	dluo
certains	certain
produits	produit
laitiers	laiti
fromages	fromag
yaourts	yaourt
énumère	énumer
Benoit	benoit
Janny	janny
Dans	dan
secteur	secteur
logistique	logist
modules	modul
vont	vont
permettre	permettr
transporter	transport
matériaux	matérial
produits	produit
l'	l'
abri	abri
poussière	poussi
intempéries	intemper
C'	c'
est	est
amélioration	amélior
suivis	suiv
traçabilité	traçabl
marchandises	marchandis
stockées	stock
Pour	pour
entreprise	entrepris
d'	d'
une	une
dizaine	dizain
personnes	person
fabrique	fabriqu
commercialise	commercialis
produits	produit
phares	phar
reste	rest
présent	présent
visible	visibl
tant	tant
France	franc
qu'	qu'
à	à
l'	l'
international	international
Notre	notr
principal	principal
objectif	object
actuel	actuel
trouver	trouv
partenaires	partenair
commerciaux	commercial
industriels	industriel
l'	l'
export	export
indique	indiqu
Benoit	benoit
Janny	janny
rappelle	rappel
l'	l'
entreprise	entrepris
détient	détient
brevet	brevet
pays	pay
qu'	qu'
elle	elle
souhaite	souhait
valoriser	valoris
sous	sous
forme	form
licence	licenc
joint	joint
venture	ventur
D'	d'
où	où
adhésion	adhes
récente	récent
pôle	pôl
Vitagora	vitagor
Nous	nous
sommes	somm
particulièrement	particuli
intéressés	intéress
réseau	réseau
industriel	industriel
celui-ci	celui-c
su	su
mettre	mettr
place	plac
La	la
veille	veil
technologique	technolog
bénéficier	bénéfici
adhérents	adhérent
l'	l'
une	une
nos	nos
préoccupations	préoccup
explique	expliqu
-t	-t
-il	-il
Par	par
ailleurs	ailleur
n'	n'
exclut	exclut
pas	pas
moyen	moyen
long	long
terme	term
travailler	travaill
d'	d'
autres	autr
adhérents	adhérent
pôle	pôl
acteurs	acteur
recherche	recherch
autour	autour
l'	l'
amélioration	amélior
seulement	seul
qualités	qualit
organoleptiques	organolept
nutritionnelles	nutritionnel
fruits	fruit
légumes	légum
généralement	général
produits	produit
l'	l'
industrie	industr
agroalimentaire	agroalimentair
ResQME	resqm
porte-clés	porte-cl
peut	peut
sauver	sauv
vies	vi
route	rout
Le	le
septembre	septembr
dernier	derni
l'	l'
Ambassade	ambassad
Etats-Unis	etats-un
Hollande	holland
s'	s'
est	est
déroulé	déroul
événement	éven
peu	peu
courant	cour
mérite	mérit
conséquent	conséquent
l'	l'
on	on
s'	s'
y	y
attarde	attard
Maria	mari
Andrews	andrew
Conseillère	conseiller
Affaires	affair
ambassade	ambassad
remis	rem
Laurent	laurent
Colasse	col
entrepreneur	entrepreneur
français	franc
installé	install
Santa	sant
Barbara	barbar
Californie	californ
présence	présenc
nombreux	nombreux
responsables	respons
prévention	prévent
routière	routi
chefs	chef
police	polic
Celui	celui
ci	ci
récompensé	récompens
travail	travail
qu'	qu'
il	il
réalise	réalis
matière	mati
sécurité	sécur
routière	routi
commercialisation	commercialis
produit	produit
phare	phar
présente	présent
sous	sous
forme	form
d'	d'
un	un
porte-clés	porte-cl
baptisé	baptis
ResQME	resqm
produit	produit
brevetée	brevet
permet	permet
s'	s'
extraire	extrair
d'	d'
une	une
voiture	voitur
cas	cas
d'	d'
accident	accident
Installé	install
Etats-Unis	etats-un
près	pres
d'	d'
une	une
vingtaine	vingtain
d'	d'
années	anné
Laurent	laurent
Colasse	col
découvert	découvert
brise	bris
vitre	vitr
Life	lif
Hammer	hamm
C'	c'
est	est
ami	ami
allemand	allemand
m'	m'
a	a
montré	montr
produit	produit
était	était
fabriqué	fabriqu
Hollande	holland
Séduit	séduit
j'	j'
ai	ai
décidé	décid
d'	d'
en	en
acheter	achet
droits	droit
commercialiser	commercialis
continent	continent
nord-américain	nord-américain
via	vi
mon	mon
entreprise	entrepris
Innovation	innov
Distributing	distributing
rappelle	rappel
-t	-t
-il	-il
Trois	trois
tard	tard
l'	l'
idée	idé
lui	lui
vient	vient
proposer	propos
produit	produit
sous	sous
forme	form
d'	d'
un	un
porte-clés	porte-cl
Les	le
Hollandais	holland
n'	n'
étant	étant
intéressés	intéress
l'	l'
entrepreneur	entrepreneur
français	franc
laisse	laiss
l'	l'
idée	idé
côté	côt
durant	dur
quelques	quelqu
mois	mois
jusqu'	jusqu'
à	à
qu'	qu'
il	il
rencontre	rencontr
représentants	représent
d'	d'
un	un
groupe	group
industriel	industriel
japonais	japon
souhaitaient	souhait
offrir	offrir
brise	bris
vitre	vitr
employés	emploi
suite	suit
mort	mort
d'	d'
entre	entre
eux	eux
accident	accident
route	rout
Mais	mais
yeux	yeux
était	était
peu	peu
trop	trop
gros	gros
Je	je
ai	ai
parlé	parl
mon	mon
idée	idé
porte-clés	porte-cl
Le	le
problème	problem
qu'	qu'
ils	il
étaient	étaient
pressés	press
Nous	nous
sommes	somm
restés	rest
là	là
explique	expliqu
-t	-t
-il	-il
Deux	deux
tard	tard
salon	salon
professionnel	professionnel
Laurent	laurent
Colasse	col
découvre	découvr
étonnement	éton
idée	idé
sous	sous
forme	form
d'	d'
un	un
produit	produit
fini	fin
Après	apres
rencontre	rencontr
l'	l'
entrepreneur	entrepreneur
français	franc
groupe	group
japonais	japon
pressé	press
pris	pris
contact	contact
fabricant	fabric
américain	américain
d'	d'
équipements	équip
particulièrement	particuli
lances	lanc
incendie	incend
Et	et
c'	c'
est	est
qu'	qu'
est	est
né	né
porte-clés	porte-cl
ResQME	resqm
C'	c'
était	était
erreur	erreur
ma	ma
part	part
J'	j'
aurais	aur
dû	dû
protéger	proteg
mon	mon
idée	idé
reconnaît	reconnaît
-il	-il
Après	apres
l'	l'
avoir	avoir
vendu	vendu
client	client
japonais	japon
entreprise	entrepris
américaine	américain
évidemment	évident
commencé	commenc
commercialiser	commercialis
produit	produit
d'	d'
abord	abord
auprès	aupres
pompiers	pompi
d'	d'
autres	autr
secteurs	secteur
d'	d'
activités	activ
Mais	mais
n'	n'
étant	étant
implantée	implant
type	typ
marchés	march
elle	elle
rapidement	rapid
atteint	atteint
limites	limit
accepté	accept
négocier	négoci
Laurent	laurent
Colasse	col
qui	qui
temps	temp
avait	avait
contacté	contact
Nous	nous
sommes	somm
parvenus	parvenus
accord	accord
stipule	stipul
entreprise	entrepris
américaine	américain
fabricant	fabric
exclusif	exclus
ResQME	resqm
j'	j'
ai	ai
distribution	distribu
exclusive	exclus
entier	enti
En	en
outre	outr
brevets	brevet
transférés	transfer
mon	mon
nom	nom
indique	indiqu
Français	franc
qui	qui
foulée	foul
obtenu	obtenu
certification	certif
ResQME	resqm
marché	march
européen	européen
De	de
taille	taill
d'	d'
une	une
clé	clé
voiture	voitur
porte-clés	porte-cl
renferme	renferm
lame	lam
rasoir	rasoir
couper	coup
ceinture	ceintur
sécurité	sécur
système	system
poinçon	poinçon
joue	jou
rôle	rôl
marteau	marteau
Il	il
s'	s'
agit	agit
d'	d'
une	une
pointe	point
d'	d'
acier	aci
rétractable	rétract
qui	qui
lorsque	lorsqu
vous	vous
l'	l'
appuyez	appui
vitre	vitr
activée	activ
vient	vient
briser	bris
celle-ci	celle-c
résume	résum
-t	-t
-il	-il
Un	un
petit	pet
objet	objet
peut	peut
s'	s'
avérer	aver
essentiel	essentiel
cas	cas
d'	d'
accident	accident
voiture	voitur
Et	et
cela	cel
d'	d'
achat	achat
varie	var
euros	euros
Aujourd'hui	aujourd'hui
ResQME	resqm
gagne	gagn
progressivement	progress
terrain	terrain
Etats-Unis	etats-un
évidemment	évident
où	où
Innovation	innov
Distribution	distribu
réalise	réalis
moitié	moiti
chiffre	chiffr
d'	d'
affaires	affair
Norvège	norveg
Hollande	holland
Espagne	espagn
France	franc
commençant	commenc
s'	s'
y	y
intéresser	intéress
Mon	mon
souhait	souh
ResQME	resqm
qu'	qu'
un	un
produit	produit
devienne	devien
tendance	tendanc
Il	il
indispensable	indispens
gens	gen
deviennent	deviennent
pro-actifs	pro-act
quand	quand
produit	produit
accident	accident
et	et
généralement	général
termes	term
sécurité	sécur
estime	estim
Laurent	laurent
Colasse	col
persuadé	persuad
sécurité	sécur
routière	routi
doit	doit
accompagnée	accompagn
d'	d'
une	une
démarche	démarch
éducative	éduc
Parallèlement	parallel
l'	l'
entrepreneur	entrepreneur
français	franc
développe	développ
nouvelle	nouvel
génération	géner
ResQME	resqm
utilisable	utilis
automobiles	automobil
n'	n'
ayant	ayant
clé	clé
cherche	cherch
concevoir	concevoir
dispositifs	disposit
visant	vis
optimiser	optimis
porte-ceinture	porte-ceintur
sécurité	sécur
automobiles	automobil
Nécessité	nécess
d'	d'
un	un
approche	approch
territoires	territoir
l'	l'
environnement	environ
l'	l'
exemple	exempl
GEOSUD	geosud
Force	forc
constater	constat
l'	l'
outil	outil
imagerie	imager
satellitaire	satellitair
considérablement	consider
évolué	évolu
premier	premi
filière	fili
SPOT	spot
ans	an
apparaît	apparaît
incontestable	incontest
réussite	réussit
tant	tant
scientifique	scientif
industrielle	industriel
stratégique	strateg
demeure	demeur
aujourd'hui	aujourd'hui
assez	assez
peu	peu
mobilisé	mobilis
mode	mod
opérationnel	opérationnel
gestionnaires	gestionnair
publics	public
largement	larg
sous-utilisé	sous-utilis
laboratoires	laboratoir
domaine	domain
l'	l'
environnement	environ
territoires	territoir
C'	c'
est	est
contexte	context
qu'	qu'
est	est
né	né
GEOSUD	geosud
GEOInformation	geoinform
for	for
SUstainable	sustain
Development	development
porté	port
AgroParisTech	agroparistech
Cemagref	cemagref
Cirad	cirad
l'	l'
IRD	ird
auxquels	auxquel
associés	associ
l'	l'
IGN	ign
Institut	institut
Géographique	géograph
National	national
l'	l'
Université	univers
Montpellier	montpelli
II	ii
soutenu	soutenu
l'	l'
Etat	etat
région	région
Languedoc	languedoc
Roussillon	roussillon
CNES	cne
Son	son
objectif	object
l'	l'
acquisition	acquisit
multilicence	multilicent
d'	d'
une	une
couverture	couvertur
satellitaire	satellitair
haute	haut
résolution	résolu
France	franc
l'	l'
été	été
pouvoir	pouvoir
diffuser	diffus
gratuitement	gratuit
données	don
satellitaires	satellitair
auprès	aupres
utilisateurs	utilis
publics	public
doivent	doivent
progressivement	progress
s'	s'
approprier	appropri
outil	outil
Véritable	vérit
France	franc
démarche	démarch
originale	original
permet	permet
faciliter	facilit
l'	l'
accès	acces
acteurs	acteur
publics	public
information	inform
non	non
seulement	seul
homogène	homogen
temps	temp
celui	celui
l'	l'
été	été
pertinente	pertinent
haute-résolution	haute-résolu
mètre	metr
l'	l'
ensemble	ensembl
territoire	territoir
national	national
GEOSUD	geosud
offre	offre
possibilité	possibil
régionaliser	régionalis
approches	approch
coupler	coupl
l'	l'
imagerie	imager
satellitaire	satellitair
mesures	mesur
effectuées	effectu
terrain	terrain
Enfin	enfin
outil	outil
fournit	fourn
support	support
partage	partag
connaissance	connaiss
méthodes	méthod
d'	d'
outils	outil
d'	d'
analyse	analys
communauté	communaut
scientifique	scientif
communauté	communaut
acteurs	acteur
gestion	gestion
Qui	qui
est	est
telle	tel
couverture	couvertur
satellitaire	satellitair
France	franc
peut	peut
mobilisée	mobilis
appui	appui
politiques	polit
publiques	publiqu
Précisons	précison
Grand	grand
Emprunt	emprunt
appel	appel
projets	projet
Equipements	equip
d'	d'
excellence	excellent
Equipex	equipex
GEOSUD	geosud
pilote	pilot
Cemagref	cemagref
l'	l'
UMR	umr
Tetis	tet
l'	l'
un	un
lauréats	lauréat
A	a
titre	titr
bénéficier	bénéfici
millions	million
d'	d'
euros	euros
GEOSUD	geosud
l'	l'
exemple	exempl
type	typ
essayons	essayon
travers	traver
notre	notr
alliance	allianc
AllEnvi	allenv
porter	port
ensemble	ensembl
projets	projet
structurants	structur
interdisciplinaires	interdisciplinair
parvenir	parven
jouer	jou
environnementale	environnemental
place	plac
débat	débat
public	public
face	fac
grands	grand
enjeux	enjeux
sociétaux	sociétal
environnementaux	environnemental
explique	expliqu
Roger	rog
Genet	genet
directeur	directeur
général	général
Cemagref	cemagref
Rappelons	rappelon
qu'	qu'
AllEnvi	allenv
Alimentation	aliment
Eau	eau
Climat	climat
Territoires	territoir
regroupe	regroup
nombreux	nombreux
acteurs	acteur
clés	clé
scientifique	scientif
différents	différent
domaines	domain
ambition	ambit
répondre	répondr
enjeux	enjeux
pose	pos
l'	l'
humanité	human
question	question
environnementale	environnemental
Arts	art
Métiers	méti
ParisTech	paristech
l'	l'
école	écol
technologie	technolog
L'	l'
école	écol
Arts	art
Métiers	méti
aujourd'hui	aujourd'hui
dénommée	dénomm
Arts	art
Métiers	méti
ParisTech	paristech
fondée	fond
l'	l'
aube	aub
Révolution	révolu
française	français
et	et
siècles	siecl
forme	form
ingénieurs	ingénieur
réputés	réput
Gadzarts	gadzart
appelle	appel
beaucoup	beaucoup
illustrés	illustr
brillamment	brill
XIX	xix
XXème	xxem
siècles	siecl
contribuant	contribu
grandes	grand
innovations	innov
technologiques	technolog
industrielles	industriel
France	franc
L'	l'
ouvrage	ouvrag
intitulé	intitul
Arts	art
Métiers	méti
l'	l'
école	écol
technologie	technolog
publie	publ
Le	le
Cherche	cherch
Midi	mid
textes	text
signés	sign
Olivier	olivi
Vercherand	vercherand
Anne	anne
Tequi	tequ
dresse	dress
talent	talent
tableau	tableau
école	écol
mouvement	mouv
où	où
humanisme	human
fraternité	fratern
coeur	coeur
formation	format
dispensée	dispens
Au	au
fil	fil
chapitres	chapitr
auteurs	auteur
invitent	invitent
entrer	entrer
coulisses	coul
l'	l'
établissement	établ
découvrir	découvr
successivement	success
histoire	histoir
traditions	tradit
oh	oh
combien	combien
importantes	import
l'	l'
originalité	original
formation	format
valeurs	valeur
Ils	il
proposent	proposent
galerie	galer
portraits	portrait
d'	d'
ingénieurs	ingénieur
Gadzarts	gadzart
dévoilent	dévoilent
projets	projet
école	écol
toujours	toujour
proche	proch
besoins	besoin
industriels	industriel
formant	form
ingénieurs	ingénieur
l'	l'
habilité	habl
main	main
l'	l'
intelligence	intelligent
science	scienc
Fourmillant	fourmill
d'	d'
informations	inform
témoignages	témoignag
joliment	jol
illustré	illustr
mis	mis
page	pag
ouvrage	ouvrag
préfacé	préfac
mathématicien	mathématicien
français	franc
Cédric	cédric
Villani	villan
Professeur	professeur
l'	l'
Université	univers
Lyon	lyon
Directeur	directeur
l'	l'
Institut	institut
Henri	henr
Poincaré	poincar
médaille	médaill
Fields	field
En	en
lisant	lis
détail	détail
ouvrage	ouvrag
je	je
me	me
suis	suis
retrouvé	retrouv
famille	famill
lâche	lâch
-t	-t
-il	-il
d'	d'
emblée	emblé
avant	avant
d'	d'
ajouter	ajout
l'	l'
écrit	écrit
préface	préfac
Le	le
mathématicien	mathématicien
reconnaît	reconnaît
l'	l'
ingénieur	ingénieur
frère	frer
d'	d'
armes	arme
bien	bien
science	scienc
désir	des
comprendre	comprendr
habitudes	habitud
travail	travail
Aussi	auss
pouvait	pouv
-il	-il
qu'	qu'
accepter	accept
préfacer	préfac
ouvrage	ouvrag
consacré	consacr
école	écol
apprécie	apprec
l'	l'
ouverture	ouvertur
fonctionnement	fonction
réseau	réseau
pluridisciplinarité	pluridisciplinar
côté	côt
social	social
L'	l'
ingénieur	ingénieur
coeur	coeur
société	societ
C'	c'
est	est
place	plac
qu'	qu'
il	il
n'	n'
aurait	aur
jamais	jam
dû	dû
quitter	quitt
estime	estim
-t	-t
-il	-il
L'	l'
ingénieur	ingénieur
n'	n'
est	est
-il	-il
celui	celui
concevoir	concevoir
solutions	solut
demain	demain
tous	tous
problèmes	problem
posent	posent
aujourd'hui	aujourd'hui
gravité	gravit
exceptionnelle	exceptionnel
Autre	autr
caractéristique	caractérist
école	écol
Arts	art
Métiers	méti
ParisTech	paristech
qu'	qu'
apprécie	apprec
particulièrement	particuli
Cédric	cédric
Villani	villan
joie	joi
l'	l'
on	on
retrouve	retrouv
traditions	tradit
La	la
science	scienc
affaire	affair
joyeuse	joyeux
mathématiques	mathémat
aussi	auss
métier	méti
chercheur	chercheur
difficile	difficil
déclare	déclar
-t	-t
-il	-il
Une	une
école	écol
implantée	implant
régions	région
françaises	français
Centres	centr
d'	d'
Enseignement	enseign
Recherche	recherch
Instituts	institut
forme	form
chaque	chaqu
année	anné
étudiants	étudi
toutes	tout
formations	format
confondues	confondu
Regroupant	regroup
laboratoires	laboratoir
écoles	écol
doctorales	doctoral
école	écol
développe	développ
activités	activ
d'	d'
enseignement	enseign
principaux	principal
domaines	domain
Mécanique	mécan
matériaux	matérial
procédés	proced
Fluides	fluid
systèmes	system
énergétiques	énerget
Conception	concept
industrialisation	industrialis
risque	risqu
décision	décis
En	en
outre	outr
l'	l'
école	écol
propose	propos
formations	format
d'	d'
ingénieurs	ingénieur
partenariat	partenariat
alternance	altern
spécialités	spécial
Masters	master
Recherche	recherch
Mastères	master
spécialisés	spécialis
MBA	mba
enfin	enfin
études	étud
doctorales	doctoral
En	en
nouveaux	nouveau
l'	l'
école	écol
boursiers	boursi
pourcentage	pourcentag
progression	progress
chaque	chaqu
année	anné
Un	un
institut	institut
dédié	dédi
l'	l'
étude	étud
vieillissement	vieil
Porté	port
l'	l'
Université	univers
Pierre	pierr
Marie	mar
Curie	cur
Pôle	pôl
Allongement	allong
vie	vi
Charles	charl
Foix	foix
l'	l'
Institut	institut
Charles	charl
Foix	foix
premier	premi
bâtiment	bât
vient	vient
d'	d'
être	être
inauguré	inaugur
novembre	novembr
dernier	derni
entièrement	entier
dédié	dédi
vieillissement	vieil
Placé	plac
sous	sous
direction	direct
scientifique	scientif
professeur	professeur
Jean	jean
Mariani	marian
neurobiologiste	neurobiolog
praticien	praticien
hospitalier	hospitali
dirige	dirig
Laboratoire	laboratoir
Neurobiologie	neurobiolog
Processus	processus
Adaptatifs	adapt
UPMC	upmc
CNRS	cnr
institut	institut
vise	vis
développer	développ
fondamentale	fondamental
clinique	cliniqu
longévité	longev
maladies	malad
associées	associ
vieillissement	vieil
maladies	malad
cardiovasculaires	cardiovasculair
maladie	malad
d'	d'
Alzheimer	alzheim
Installé	install
coeur	coeur
l'	l'
hôpital	hôpital
Charles	charl
Foix	foix
Ivry-sur-Seine	ivry-sur-sein
premier	premi
bâtiment	bât
m2	m2
constitue	constitu
équipement	équip
scientifique	scientif
d'	d'
une	une
haute	haut
technicité	techniqu
aura	aur
nécessité	nécess
investissement	invest
millions	million
d'	d'
euros	euros
financés	financ
Conseil	conseil
régional	régional
d'	d'
Ile-de-France	ile-de-fr
ministère	minister
l'	l'
Enseignement	enseign
Supérieur	supérieur
Recherche	recherch
Conseil	conseil
Général	général
Val-de-Marne	val-de-marn
ville	vill
d'	d'
Ivry-sur-Seine	ivry-sur-sein
soutien	soutien
l'	l'
AP	ap
HP	hp
Assistance	assist
Publiques	publiqu
Hôpitaux	hôpital
Paris	paris
l'	l'
Union	union
Européenne	européen
La	la
plate	plat
forme	form
d'	d'
analyses	analys
fonctionnelles	fonctionnel
comportementales	comportemental
système	system
nerveux	nerveux
qu'	qu'
abrite	abrit
aujourd'hui	aujourd'hui
permettre	permettr
d'	d'
un	un
centré	centr
l'	l'
étude	étud
grandes	grand
fonctions	fonction
système	system
nerveux	nerveux
mémoire	mémoir
orientation	orient
l'	l'
espace	espac
motricité	motriqu
troubles	troubl
éventuels	éventuel
démences	démenc
troubles	troubl
sommeil	sommeil
mise	mis
point	point
stratégies	strateg
réparation	répar
système	system
nerveux	nerveux
A	a
terme	term
d'	d'
autres	autr
permettront	permettront
développer	développ
projets	projet
biologiques	biolog
précliniques	préclin
ex	ex
vivo	vivo
in	in
vitro	vitro
s'	s'
appuyant	appui
plates	plat
formes	form
criblage	criblag
systèmes	system
modèles	model
souches	souch
Courant	cour
plate	plat
forme	form
immobilière	immobili
comprenant	compren
pépinière	pépini
hôtel	hôtel
d'	d'
entreprises	entrepris
biotechnologies	biotechnolog
gérontechnologies	gérontechnolog
viendra	viendr
renforcer	renforc
l'	l'
ensemble	ensembl
dispositif	disposit
Chimie	chim
verte	vert
Unité	unit
Mixte	mixt
Internationale	international
installée	install
Chine	chin
Le	le
novembre	novembr
dernier	derni
CNRS	cnr
Rhodia	rhodi
l'	l'
ENS	en
Lyon	lyon
l'	l'
East	east
China	chin
Normal	normal
University	university
ECNU	ecnu
inauguré	inaugur
Laboratoire	laboratoir
Eco-efficient	eco-efficient
Products	product
and	and
Processes	process
Il	il
s'	s'
agit	agit
Unité	unit
Mixte	mixt
Internationale	international
UMI	umi
dédiée	dédi
chimie	chim
verte	vert
installée	install
Chine	chin
Localisée	localis
Rhodia	rhodi
Shanghai	shangh
nouvelle	nouvel
UMI	umi
hébergera	héberg
académiques	academ
industriels	industriel
étudiants	étudi
Dans	dan
contexte	context
marqué	marqu
l'	l'
épuisement	épuis
annoncé	annonc
ressources	ressourc
fossiles	fossil
contribution	contribu
significative	signif
émissions	émiss
gaz	gaz
serre	serr
ambition	ambit
développer	développ
nouveaux	nouveau
produits	produit
éco-efficients	éco-efficient
capables	capabl
réduire	réduir
dépendance	dépend
pétrole	pétrol
D'	d'
où	où
volonté	volont
susciter	suscit
collaborations	collabor
internationales	international
différents	différent
laboratoires	laboratoir
académiques	academ
chinois	chinois
européens	européen
partenaires	partenair
industriels	industriel
s'	s'
ouvrir	ouvr
partenariats	partenariat
d'	d'
autres	autr
universités	univers
entreprises	entrepris
chinoises	chinois
ARTEMIS	artem
outil	outil
esquisse	esquiss
l'	l'
agriculture	agricultur
durable	durabl
demain	demain
C'	c'
est	est
fin	fin
suite	suit
l'	l'
Etat	etat
d'	d'
un	un
appel	appel
projets	projet
visant	vis
mettre	mettr
oeuvre	oeuvr
plates	plat
formes	form
d'	d'
innovation	innov
renforcer	renforc
pôles	pôl
compétitivité	compétit
Vitagora	vitagor
partenaires	partenair
décidé	décid
d'	d'
y	y
répondre	répondr
proposant	propos
allait	allait
conduire	conduir
tard	tard
création	création
d'	d'
une	une
Société	societ
Anonyme	anonym
Simplifiée	simplifi
baptisée	baptis
